title	author	date	link	emotion	value
At Klipsan Beach	James Arthur	2016-01-15	http://poetry.lib.uidaho.edu/index.php/poems/at-klipsan-beach/	fear	0.1233
At Klipsan Beach	James Arthur	2016-01-15	http://poetry.lib.uidaho.edu/index.php/poems/at-klipsan-beach/	joy	0.4647
At Klipsan Beach	James Arthur	2016-01-15	http://poetry.lib.uidaho.edu/index.php/poems/at-klipsan-beach/	sadness	0.4947
Bucephalus, Charging	James Arthur	2016-01-14	http://poetry.lib.uidaho.edu/index.php/poems/bucephalus-charging/	anger	0.1206
Bucephalus, Charging	James Arthur	2016-01-14	http://poetry.lib.uidaho.edu/index.php/poems/bucephalus-charging/	disgust	0.4123
Bucephalus, Charging	James Arthur	2016-01-14	http://poetry.lib.uidaho.edu/index.php/poems/bucephalus-charging/	fear	0.1672
Bucephalus, Charging	James Arthur	2016-01-14	http://poetry.lib.uidaho.edu/index.php/poems/bucephalus-charging/	joy	0.2817
Bucephalus, Charging	James Arthur	2016-01-14	http://poetry.lib.uidaho.edu/index.php/poems/bucephalus-charging/	sadness	0.4891
Drinking Song	James Arthur	2015-12-17	http://poetry.lib.uidaho.edu/index.php/poems/drinking-song/	anger	0.1502
Drinking Song	James Arthur	2015-12-17	http://poetry.lib.uidaho.edu/index.php/poems/drinking-song/	disgust	0.3334
Drinking Song	James Arthur	2015-12-17	http://poetry.lib.uidaho.edu/index.php/poems/drinking-song/	fear	0.4087
