title,author,date,link,sentiment_label,sentiment_score,emotion_anger,emotion_disgust,emotion_fear,emotion_joy,emotion_sadness,keywords
Drinking Song,James Arthur,"Dec 17, 2015",http://poetry.lib.uidaho.edu/index.php/poems/drinking-song/,negative,-0.248132,0.15019,0.333391,0.408717,0.082,0.119079,sheer hands; pollen engine; injury machine; switchgrass; boatyards; codeine; legs; backhoe; twine; hat; purse; jaw; gloves; tick; cigarettes; grave; sun; wine; ship
In Defense of the Semicolon,James Arthur,"Feb 25, 2016",http://poetry.lib.uidaho.edu/index.php/poems/in-defense-of-the-semicolon/,negative,-0.294226,0.133734,0.165581,0.580853,0.254,0.514741,reassuring logic; Richard Hugo; open-air restaurant; movable bridges; pale islands; small therefores; semicolons; butterflies; idiots; streetcars; punctuation; bangs; certainty; gangways; waiter; chatter; freeze; hemisphere; reservoirs; dusk; desire; cigarettes; teeth; relationships; split; terminal; brother; darkness; sun; cities; time; girl; home; mills; woman; England; feet
Independence,James Arthur,"Mar 17, 2016",http://poetry.lib.uidaho.edu/index.php/poems/independence/,negative,-0.124907,0.0927,0.088458,0.139298,0.542,0.469441,fiery halo; gassy sky; famous friends; Happy marriage; boring ones; skin graft; Jesus Christ; ovals; cries; optimism; fireworks; boom; cheek; Independence; bottle; kiss; bars; night; bed; stars; clothes…; dog; shard…
Omnivore,James Arthur,"Dec 5, 2015",http://poetry.lib.uidaho.edu/index.php/poems/omnivore/,negative,-0.312388,0.162662,0.231709,0.150477,0.166,0.502044,Old-time glue-makers; great men; old horses; mediocrity; stingers; Scorpions; scorpion; poison; shark; wife; feed
Rapid Transit,James Arthur,"Dec 15, 2015",http://poetry.lib.uidaho.edu/index.php/poems/rapid-transit/,negative,-0.186813,0.132286,0.493531,0.20106,0.045,0.195627,end flings water; paddle cuts; backward twin; world flashes; stereo store; train; early evening; early morning; kayaker; smack; strangers; snaps; fist; cheek; passengers; way; sets; eye-to-eye
Vertigo,James Arthur,"Mar 12, 2016",http://poetry.lib.uidaho.edu/index.php/poems/vertigo/,negative,-0.251388,0.191278,0.128031,0.181787,0.180,0.40284,clock face; diurnal reversal; hand’s cycle; nbsp; sleeve; gestures; arms; half; navigation; points; earth; stars; message
The Land of Nod,James Arthur,"Feb 23, 2016",http://poetry.lib.uidaho.edu/index.php/poems/the-land-of-nod/,negative,-0.429389,0.114211,0.114577,0.145066,0.017,0.698808,Nod; nation—of Cain; serrated sword; blue scilla; unknown origin; grown man; place; God; desolation; rack; wife; screw; offspring; bone; cups; Bible; read; brother; east; wish; way; land; mark; boy; race; men; country
Summer Song,James Arthur,"Dec 14, 2015",http://poetry.lib.uidaho.edu/index.php/poems/summer-song/,positive,0.018076,0.088917,0.123419,0.175086,0.329,0.61133,tall flag snaps; Star-shaped holes; steel chandelier; summer dress; tall wind; inlaid floor; troopers sailing; old woman; sour-looking sky; clothespins; floors; parachute; subway; strain; galaxies; morning; shell; street; stars; stone; miles; names…; home; number
In the Red Dress I Wear to Your Funeral (Section 7),Erin Belieu,"Apr 15, 2016",http://poetry.lib.uidaho.edu/index.php/poems/in-the-red-dress-i-wear-to-your-funeral-section-7/,positive,0.00945796,0.133194,0.497625,0.119556,0.131,0.514753,real Southern lady—how; Chanel commando; spray-on tan; official widow; snap peas; old-fashioned way; chinless girl; plain ones; rare example; family compound; silent house; dirty box; dead man; comprehend; patrolling; admit; mama; pod; seats; climb; burial; avalanche; nights; ladies; orchestra; job; women
The Last of the Gentlemen Heartbreakers,Erin Belieu,"Apr 6, 2016",http://poetry.lib.uidaho.edu/index.php/poems/the-last-of-the-gentlemen-heartbreakers/,negative,-0.00623884,0.126751,0.190416,0.123345,0.539,0.484168,single swampy; backward—your cask; showy limp; erotica files; waltz-step elegy; Valentine’s Eve; Christmas miracle; yoga instructress; theme-park pirate; bad way; death squad; good eye; comrade; fallacy; Juvenilia; port; ribald; knack; handkerchief; retainer; camellia; mastermind; bagpipe; lap; satisfaction; lightning; Southern; pine; ground; Cincinnati; self; gift; patch; body; woman; storm; Love; Subject; Late; cat; Sources
Another Poem for Mothers,Erin Belieu,"Mar 8, 2016",http://poetry.lib.uidaho.edu/index.php/poems/another-poem-for-mothers/,negative,-0.0420224,0.106428,0.120809,0.118744,0.465,0.562159,mothers; clever failure; particular hands; Mother; cool sheets; better house; poems; slap; butter; poem; sew; spreads; spin; bread; wonder; shape; children; world; men; miles; mother-hands; weather
